subject_id,object_id,problem_sum,confidence_avg,subject_info,object_info,predicate_id,problem,info,confidence,suggested_predicate,suggested_modifications,model
GO:0003848,RHEA:11412,6,0.7000000000000001,"Name: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
Definition: Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine + ATP = (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl diphosphate + AMP + 2 H+.
Relationships:","Name: 6-hydroxymethyl-7,8-dihydropterin + ATP = (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H(+)
Definition: None
Relationships:",oio:hasDbXref,True,The SUBJECT and OBJECT do not have identical reactions. The reaction substrates and products are different.,1.0,,; ,gpt3t-prompted
GO:0003848,RHEA:11412,6,0.7000000000000001,"Name: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
Definition: Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine + ATP = (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl diphosphate + AMP + 2 H+.
Relationships:","Name: 6-hydroxymethyl-7,8-dihydropterin + ATP = (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H(+)
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT and OBJECT describe similar but not identical reactions. The name and formula in the SUBJECT indicate a specific enzyme activity involving a 2-amino group that is not mentioned in the OBJECT's name. Furthermore, the product and reactants differ slightly in their composition (presence of 2-amino and hydroxy groups in the SUBJECT that are not specified in the OBJECT), and the OBJECT only accounts for one H+ ion, suggesting a discrepancy in the overall reaction stoichiometry compared to the SUBJECT.",1.0,,; Include '2-amino-4-hydroxy' in the compound names and account for the additional H+ in the reaction to match the SUBJECT description,gpt-4-generic
GO:0004051,RHEA:32307,6,0.7000000000000001,"Name: arachidonate 5-lipoxygenase activity
Definition: Catalysis of the reaction: arachidonate + O2 = (6E,8Z,11Z,14Z)-(5S)-5-hydroperoxycosa-6,8,11,14-tetraenoate.
Relationships:","Name: (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = H2O + leukotriene A4
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT describes the catalysis of a reaction that converts arachidonate to 5-hydroperoxy-eicosatetraenoate, while the OBJECT describes a different reaction that converts eicosatetraenoate to leukotriene A4. These are two distinct reactions, so an exactMatch is not appropriate.",1.0,"A more appropriate predicate could be skos:related or skos:broadMatch, as the reactions share a substrate (arachidonate/eicosatetraenoate) and both involve lipoxygenase enzymes, but are not identical.",; ,claude-3-opus-generic
GO:0004051,RHEA:32307,6,0.7000000000000001,"Name: arachidonate 5-lipoxygenase activity
Definition: Catalysis of the reaction: arachidonate + O2 = (6E,8Z,11Z,14Z)-(5S)-5-hydroperoxycosa-6,8,11,14-tetraenoate.
Relationships:","Name: (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = H2O + leukotriene A4
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT and OBJECT descriptions refer to different chemical reactions. Even though they both involve arachidonate, they result in different products, so they cannot be considered an exact match.",1.0,Change predicate to 'skos:closeMatch' or 'skos:relatedMatch',No modifications needed; Update with correct OBJECT name and definition that aligns with the SUBJECT,gpt4full-generic
GO:0004051,RHEA:32307,6,0.7000000000000001,"Name: arachidonate 5-lipoxygenase activity
Definition: Catalysis of the reaction: arachidonate + O2 = (6E,8Z,11Z,14Z)-(5S)-5-hydroperoxycosa-6,8,11,14-tetraenoate.
Relationships:","Name: (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = H2O + leukotriene A4
Definition: None
Relationships:",oio:hasDbXref,True,"The subject and object do not have an exact match relationship. The subject is an enzyme that catalyzes a reaction, while the object is the reaction itself. The predicate 'skos:exactMatch' is not accurate in this context.",0.1,skos:relatedMatch,"arachidonate 5-lipoxygenase; (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = H2O + leukotriene A4",groq-llama-generic
GO:0004051,RHEA:32307,6,0.7000000000000001,"Name: arachidonate 5-lipoxygenase activity
Definition: Catalysis of the reaction: arachidonate + O2 = (6E,8Z,11Z,14Z)-(5S)-5-hydroperoxycosa-6,8,11,14-tetraenoate.
Relationships:","Name: (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = H2O + leukotriene A4
Definition: None
Relationships:",oio:hasDbXref,True,"The subject and object do not represent the same reaction, although they are related. The subject is a specific type of lipoxygenase activity that produces (6E,8Z,11Z,14Z)-(5S)-5-hydroperoxycosa-6,8,11,14-tetraenoate from arachidonate and O2, while the object represents a reaction that produces leukotriene A4 from (5Z,8Z,11Z,14Z)-eicosatetraenoate and O2, with H2O as a byproduct.",0.1,None,None; Change the name to 'arachidonate + O2 = H2O + leukotriene A4' to better reflect the reaction it represents.,mixtral-prompted
GO:0004051,RHEA:32307,6,0.7000000000000001,"Name: arachidonate 5-lipoxygenase activity
Definition: Catalysis of the reaction: arachidonate + O2 = (6E,8Z,11Z,14Z)-(5S)-5-hydroperoxycosa-6,8,11,14-tetraenoate.
Relationships:","Name: (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = H2O + leukotriene A4
Definition: None
Relationships:",oio:hasDbXref,True,"The proposed mapping is not accurate as the reactions described are different. While both reactions involve O2 and arachidonic acid derivatives, the specific chemical products formed are different in each case.",1.0,,; ,gpt3t-prompted
GO:0004051,RHEA:32307,6,0.7000000000000001,"Name: arachidonate 5-lipoxygenase activity
Definition: Catalysis of the reaction: arachidonate + O2 = (6E,8Z,11Z,14Z)-(5S)-5-hydroperoxycosa-6,8,11,14-tetraenoate.
Relationships:","Name: (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = H2O + leukotriene A4
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT refers to the enzyme activity (arachidonate 5-lipoxygenase) catalyzing a specific biochemical reaction, while the OBJECT describes the products and reactants involved in a specific biological chemical reaction that results in leukotriene A4 from eicosatetraenoate and oxygen, with water as a byproduct. Although related and part of the same biochemical pathway, describing an enzyme's activity is not the exact same concept as describing a chemical reaction's inputs and outputs.",1.0,skos:closeMatch,; Clarify that the specific reaction is catalyzed by arachidonate 5-lipoxygenase,gpt-4-generic
GO:0004164,RHEA:36415,6,0.7000000000000001,"Name: diphthine synthase activity
Definition: Catalysis of the reaction: S-adenosyl-L-methionine + 2-(3-carboxy-3-aminopropyl)-L-histidine = S-adenosyl-L-homocysteine + 2-(3-carboxy-3-(methylammonio)propyl)-L-histidine.
Relationships:","Name: 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + 3 S-adenosyl-L-methionine = diphthine-[translation elongation factor 2] + 3 H(+) + 3 S-adenosyl-L-homocysteine
Definition: None
Relationships:",oio:hasDbXref,True,The subject is an enzymatic activity while the object is a chemical reaction. These are related concepts but not an exact match. The object describes the specific reaction catalyzed by the enzyme referenced in the subject.,1.0,skos:closeMatch,; ,claude-3-opus-generic
GO:0004164,RHEA:36415,6,0.7000000000000001,"Name: diphthine synthase activity
Definition: Catalysis of the reaction: S-adenosyl-L-methionine + 2-(3-carboxy-3-aminopropyl)-L-histidine = S-adenosyl-L-homocysteine + 2-(3-carboxy-3-(methylammonio)propyl)-L-histidine.
Relationships:","Name: 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + 3 S-adenosyl-L-methionine = diphthine-[translation elongation factor 2] + 3 H(+) + 3 S-adenosyl-L-homocysteine
Definition: None
Relationships:",oio:hasDbXref,True,"The definition of the SUBJECT and the name of the OBJECT appear to describe different reactions, therefore the mapping is not an 'exactMatch'.",1.0,consider a looser predicate such as 'related' or 'closeMatch',no modifications; consider a different OBJECT that matches the reaction described in the SUBJECT,gpt4full-generic
GO:0004164,RHEA:36415,6,0.7000000000000001,"Name: diphthine synthase activity
Definition: Catalysis of the reaction: S-adenosyl-L-methionine + 2-(3-carboxy-3-aminopropyl)-L-histidine = S-adenosyl-L-homocysteine + 2-(3-carboxy-3-(methylammonio)propyl)-L-histidine.
Relationships:","Name: 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + 3 S-adenosyl-L-methionine = diphthine-[translation elongation factor 2] + 3 H(+) + 3 S-adenosyl-L-homocysteine
Definition: None
Relationships:",oio:hasDbXref,True,"The subject and object do not have an exact match relationship. The subject is an enzyme that catalyzes a specific reaction, while the object is a product of a reaction involving a specific protein and multiple S-adenosyl-L-methionine molecules.",0.1,The predicate 'skos:exactMatch' is not appropriate for this mapping. A more appropriate predicate might be 'skos:related' or 'dc:hasPart'.,None; None,groq-llama-generic
GO:0004164,RHEA:36415,6,0.7000000000000001,"Name: diphthine synthase activity
Definition: Catalysis of the reaction: S-adenosyl-L-methionine + 2-(3-carboxy-3-aminopropyl)-L-histidine = S-adenosyl-L-homocysteine + 2-(3-carboxy-3-(methylammonio)propyl)-L-histidine.
Relationships:","Name: 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + 3 S-adenosyl-L-methionine = diphthine-[translation elongation factor 2] + 3 H(+) + 3 S-adenosyl-L-homocysteine
Definition: None
Relationships:",oio:hasDbXref,True,"The subject and object do not represent the same reaction. The subject describes the formation of 2-(3-carboxy-3-(methylammonio)propyl)-L-histidine from 2-(3-carboxy-3-aminopropyl)-L-histidine, while the object describes the formation of diphthine-[translation elongation factor 2] from 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2].",0.1,None,None; None,mixtral-prompted
GO:0004164,RHEA:36415,6,0.7000000000000001,"Name: diphthine synthase activity
Definition: Catalysis of the reaction: S-adenosyl-L-methionine + 2-(3-carboxy-3-aminopropyl)-L-histidine = S-adenosyl-L-homocysteine + 2-(3-carboxy-3-(methylammonio)propyl)-L-histidine.
Relationships:","Name: 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + 3 S-adenosyl-L-methionine = diphthine-[translation elongation factor 2] + 3 H(+) + 3 S-adenosyl-L-homocysteine
Definition: None
Relationships:",oio:hasDbXref,True,The proposed mapping between the SUBJECT and OBJECT is incorrect. The reactions they describe involve different chemical compounds and are not equivalent.,1.0,,; ,gpt3t-prompted
GO:0004164,RHEA:36415,6,0.7000000000000001,"Name: diphthine synthase activity
Definition: Catalysis of the reaction: S-adenosyl-L-methionine + 2-(3-carboxy-3-aminopropyl)-L-histidine = S-adenosyl-L-homocysteine + 2-(3-carboxy-3-(methylammonio)propyl)-L-histidine.
Relationships:","Name: 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + 3 S-adenosyl-L-methionine = diphthine-[translation elongation factor 2] + 3 H(+) + 3 S-adenosyl-L-homocysteine
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT describes an enzyme activity (diphthine synthase activity) involving a specific chemical reaction, while the OBJECT describes a specific chemical reaction without referencing the enzyme activity. The reactions involved are related but not described in an identical manner. To ensure an exact match, both should precisely detail the enzyme activity or the chemical reaction in the same way.",1.0,,; Specify as enzyme activity involving the described reaction,gpt-4-generic
GO:0004416,RHEA:25245,6,0.7000000000000001,"Name: hydroxyacylglutathione hydrolase activity
Definition: Catalysis of the reaction: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy carboxylate.
Relationships:","Name: (R)-S-lactoylglutathione + H2O = (R)-lactate + glutathione + H(+)
Definition: None
Relationships:",oio:hasDbXref,True,The subject is an enzyme activity while the object is a chemical reaction. These are not the same type of entity and cannot be an exact match. The object should be modified to represent the enzyme that catalyzes this specific reaction.,1.0,A more appropriate relationship may be 'catalyzes' to link the enzyme activity to the reaction it facilitates.,"; Modify the object name to be the enzyme that catalyzes the specific reaction, e.g. 'hydroxyacylglutathione hydrolase'. Add a definition describing the enzyme's function.",claude-3-opus-generic
GO:0004416,RHEA:25245,6,0.7000000000000001,"Name: hydroxyacylglutathione hydrolase activity
Definition: Catalysis of the reaction: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy carboxylate.
Relationships:","Name: (R)-S-lactoylglutathione + H2O = (R)-lactate + glutathione + H(+)
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT and OBJECT aren't exact matches. While both relate to catalysis, their specifics differ, including different compounds and their reactions.",1.0,Change skos:exactMatch to skos:closeMatch,None; Include the name of the enzyme catalyzing the reaction and rewrite in standard compound notation,gpt4full-generic
GO:0004416,RHEA:25245,6,0.7000000000000001,"Name: hydroxyacylglutathione hydrolase activity
Definition: Catalysis of the reaction: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy carboxylate.
Relationships:","Name: (R)-S-lactoylglutathione + H2O = (R)-lactate + glutathione + H(+)
Definition: None
Relationships:",oio:hasDbXref,True,"The given predicate 'skos:exactMatch' implies that the SUBJECT and OBJECT are identical concepts. However, the SUBJECT and OBJECT are different enzymatic reactions. The SUBJECT catalyzes the reaction of (S)-hydroxyacylglutathione with water, while the OBJECT describes a reaction of (R)-S-lactoyglutathione with water. The reactions have different substrates and stereochemistry.",0.1,skos:relatedMatch,hydroxyacylglutathione hydrolase activity; R-S-lactoyglutathione reaction with water,groq-llama-generic
GO:0004416,RHEA:25245,6,0.7000000000000001,"Name: hydroxyacylglutathione hydrolase activity
Definition: Catalysis of the reaction: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy carboxylate.
Relationships:","Name: (R)-S-lactoylglutathione + H2O = (R)-lactate + glutathione + H(+)
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT and OBJECT do not represent the same reaction. The SUBJECT is a hydrolysis reaction that produces glutathione and a 2-hydroxy carboxylate, while the OBJECT is a different reaction that produces (R)-lactate instead of a 2-hydroxy carboxylate.",0.1,skos:closeMatch instead of skos:exactMatch,None; Change the reactants and products to match the SUBJECT: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy carboxylate.,mixtral-prompted
GO:0004416,RHEA:25245,6,0.7000000000000001,"Name: hydroxyacylglutathione hydrolase activity
Definition: Catalysis of the reaction: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy carboxylate.
Relationships:","Name: (R)-S-lactoylglutathione + H2O = (R)-lactate + glutathione + H(+)
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT and OBJECT have similar reactions involving glutathione and water, but the specific substrates and products do not match. The definitions and reactions are not equivalent.",1.0,,; ,gpt3t-prompted
GO:0004416,RHEA:25245,6,0.7000000000000001,"Name: hydroxyacylglutathione hydrolase activity
Definition: Catalysis of the reaction: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy carboxylate.
Relationships:","Name: (R)-S-lactoylglutathione + H2O = (R)-lactate + glutathione + H(+)
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT describes the enzymatic activity involving hydroxyacylglutathione, which is a broad category, whereas the OBJECT refers to a specific chemical reaction involving (R)-S-lactoylglutathione, which is a specific substrate within that category. The SUBJECT's definition does not strictly match the OBJECT's because the OBJECT specifies the stereochemistry ((R)-lactate) and includes the release of a proton (H(+)) which is not mentioned in the SUBJECT's definition. Therefore, they cannot be considered an exact match.",1.0,skos:closeMatch,; ,gpt-4-generic
GO:0004453,RHEA:16393,6,0.7000000000000001,"Name: juvenile-hormone esterase activity
Definition: Catalysis of the reaction: methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate + H2O = (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate + methanol. A carboxylesterase that hydrolyzes the ester linkage of juvenile hormone.
Relationships:","Name: H2O + juvenile hormone II = H(+) + juvenile hormone II carboxylate + methanol
Definition: None
Relationships:",oio:hasDbXref,True,"The subject refers to the enzymatic activity of juvenile-hormone esterase, while the object refers to the specific chemical reaction catalyzed by this enzyme. These are related but distinct concepts. An exact match would be between two entities both referring to the enzymatic activity itself.",1.0,skos:closeMatch,; juvenile-hormone esterase activity,claude-3-opus-generic
GO:0004453,RHEA:16393,6,0.7000000000000001,"Name: juvenile-hormone esterase activity
Definition: Catalysis of the reaction: methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate + H2O = (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate + methanol. A carboxylesterase that hydrolyzes the ester linkage of juvenile hormone.
Relationships:","Name: H2O + juvenile hormone II = H(+) + juvenile hormone II carboxylate + methanol
Definition: None
Relationships:",oio:hasDbXref,True,"Even though both SUBJECT and OBJECT involve reactions concerning juvenile hormone, they are not exact matches due to differences in the reaction equations.",1.0,skos:closeMatch,; ,gpt4full-generic
GO:0004453,RHEA:16393,6,0.7000000000000001,"Name: juvenile-hormone esterase activity
Definition: Catalysis of the reaction: methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate + H2O = (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate + methanol. A carboxylesterase that hydrolyzes the ester linkage of juvenile hormone.
Relationships:","Name: H2O + juvenile hormone II = H(+) + juvenile hormone II carboxylate + methanol
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT and OBJECT do not have an exact match. However, they are related. The SUBJECT is a carboxylesterase that hydrolyzes the ester linkage of juvenile hormone, while the OBJECT describes the reaction of H2O + juvenile hormone II = H(+) + juvenile hormone II carboxylate + methanol. The predicate_modifications should be modified to better reflect their relationship, such as 'skos:relatedMatch'.",0.1,skos:exactMatch -> skos:relatedMatch,None; None,groq-llama-generic
GO:0004453,RHEA:16393,6,0.7000000000000001,"Name: juvenile-hormone esterase activity
Definition: Catalysis of the reaction: methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate + H2O = (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate + methanol. A carboxylesterase that hydrolyzes the ester linkage of juvenile hormone.
Relationships:","Name: H2O + juvenile hormone II = H(+) + juvenile hormone II carboxylate + methanol
Definition: None
Relationships:",oio:hasDbXref,True,"The SUBJECT and OBJECT do not represent the same reaction, although they are related. The SUBJECT describes an enzyme (juvenile-hormone esterase) that catalyzes the hydrolysis of juvenile hormone II to its carboxylate and methanol. The proposed PREDICATE is skos:exactMatch, which implies that the SUBJECT and OBJECT are identical. However, the OBJECT describes a reaction that includes H2O as a reactant and does not explicitly state that juvenile hormone II is esterified, which is crucial for the reaction to be catalyzed by juvenile-hormone esterase.",0.1,"The PREDICATE skos:exactMatch is not appropriate for this mapping. A more suitable PREDICATE would be a subclass or a part-whole relationship, indicating that the reaction described in the OBJECT is a specific instance of the general class of reactions catalyzed by juvenile-hormone esterase.","None; Modify the OBJECT to explicitly state that the reaction includes the hydrolysis of an ester linkage in juvenile hormone II, and that one of the products is methanol.",mixtral-prompted
