subject_id	subject_label	predicate_id	object_id	mapping_justification
GO:0000234	phosphoethanolamine N-methyltransferase activity	oio:hasDbXref	MetaCyc:2.1.1.103-RXN	semapv:ManualMappingCuration
GO:0000234	phosphoethanolamine N-methyltransferase activity	oio:hasDbXref	RHEA:20365	semapv:ManualMappingCuration
GO:0000237	leptotene	oio:hasDbXref	Wikipedia:Leptotene	semapv:ManualMappingCuration
GO:0000237	leptotene	oio:hasDbXref	Wikipedia:Meiosis#Leptotene	semapv:ManualMappingCuration
GO:0000238	zygotene	oio:hasDbXref	Wikipedia:Meiosis#Zygotene	semapv:ManualMappingCuration
GO:0000238	zygotene	oio:hasDbXref	Wikipedia:Zygotene	semapv:ManualMappingCuration
GO:0000239	pachytene	oio:hasDbXref	Wikipedia:Meiosis#Pachytene	semapv:ManualMappingCuration
GO:0000239	pachytene	oio:hasDbXref	Wikipedia:Pachytene	semapv:ManualMappingCuration
GO:0000240	diplotene	oio:hasDbXref	Wikipedia:Diplotene	semapv:ManualMappingCuration
GO:0000240	diplotene	oio:hasDbXref	Wikipedia:Meiosis#Diplotene	semapv:ManualMappingCuration
GO:0000241	diakinesis	oio:hasDbXref	Wikipedia:Diakinesis	semapv:ManualMappingCuration
GO:0000241	diakinesis	oio:hasDbXref	Wikipedia:Meiosis#Diakinesis	semapv:ManualMappingCuration
GO:0000246	delta24(24-1) sterol reductase activity	oio:hasDbXref	EC:1.3.1.71	semapv:ManualMappingCuration
GO:0000246	delta24(24-1) sterol reductase activity	oio:hasDbXref	KEGG_REACTION:R05641	semapv:ManualMappingCuration
GO:0000246	delta24(24-1) sterol reductase activity	oio:hasDbXref	MetaCyc:1.3.1.71-RXN	semapv:ManualMappingCuration
GO:0000246	delta24(24-1) sterol reductase activity	oio:hasDbXref	RHEA:18501	semapv:ManualMappingCuration
GO:0000250	lanosterol synthase activity	oio:hasDbXref	EC:5.4.99.7	semapv:ManualMappingCuration
GO:0000250	lanosterol synthase activity	oio:hasDbXref	KEGG_REACTION:R03199	semapv:ManualMappingCuration
GO:0000250	lanosterol synthase activity	oio:hasDbXref	MetaCyc:LANOSTEROL-SYNTHASE-RXN	semapv:ManualMappingCuration
GO:0000250	lanosterol synthase activity	oio:hasDbXref	RHEA:14621	semapv:ManualMappingCuration
GO:0000252	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	oio:hasDbXref	EC:1.1.1.170	semapv:ManualMappingCuration
GO:0000253	3-keto sterol reductase activity	oio:hasDbXref	EC:1.1.1.270	semapv:ManualMappingCuration
GO:0000253	3-keto sterol reductase activity	oio:hasDbXref	MetaCyc:RXN-13686	semapv:ManualMappingCuration
GO:0000253	3-keto sterol reductase activity	skos:narrowMatch	RHEA:18409	semapv:ManualMappingCuration
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	RHEA:34787	semapv:ManualMappingCuration
GO:0000253	3-keto sterol reductase activity	skos:narrowMatch	RHEA:36379	semapv:ManualMappingCuration
GO:0000254	C-4 methylsterol oxidase activity	oio:hasDbXref	EC:1.14.18.9	semapv:ManualMappingCuration
GO:0000254	C-4 methylsterol oxidase activity	oio:hasDbXref	MetaCyc:RXN-13188	semapv:ManualMappingCuration
GO:0000254	C-4 methylsterol oxidase activity	oio:hasDbXref	RHEA:55220	semapv:ManualMappingCuration
GO:0000257	nitrilase activity	oio:hasDbXref	EC:3.5.5.1	semapv:ManualMappingCuration
GO:0000257	nitrilase activity	oio:hasDbXref	KEGG_REACTION:R00540	semapv:ManualMappingCuration
GO:0000257	nitrilase activity	oio:hasDbXref	MetaCyc:3.5.5.1-RXN	semapv:ManualMappingCuration
GO:0000257	nitrilase activity	oio:hasDbXref	RHEA:21724	semapv:ManualMappingCuration
GO:0000257	nitrilase activity	oio:hasDbXref	UM-BBD_enzymeID:e0283	semapv:ManualMappingCuration
GO:0000262	mitochondrial chromosome	oio:hasDbXref	NIF_Subcellular:sao1186327184	semapv:ManualMappingCuration
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity	oio:hasDbXref	EC:2.1.1.59	semapv:ManualMappingCuration
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity	oio:hasDbXref	MetaCyc:2.1.1.59-RXN	semapv:ManualMappingCuration
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity	oio:hasDbXref	RHEA:24312	semapv:ManualMappingCuration
GO:0000278	mitotic cell cycle	oio:hasDbXref	Wikipedia:Mitosis	semapv:ManualMappingCuration
GO:0000279	M phase	oio:hasDbXref	Wikipedia:M_phase	semapv:ManualMappingCuration
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	oio:hasDbXref	EC:2.7.1.150	semapv:ManualMappingCuration
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	oio:hasDbXref	KEGG_REACTION:R05802	semapv:ManualMappingCuration
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	oio:hasDbXref	MetaCyc:2.7.1.150-RXN	semapv:ManualMappingCuration
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	oio:hasDbXref	RHEA:13609	semapv:ManualMappingCuration
GO:0000286	alanine dehydrogenase activity	oio:hasDbXref	EC:1.4.1.1	semapv:ManualMappingCuration
GO:0000286	alanine dehydrogenase activity	oio:hasDbXref	MetaCyc:ALANINE-DEHYDROGENASE-RXN	semapv:ManualMappingCuration
GO:0000286	alanine dehydrogenase activity	oio:hasDbXref	RHEA:18405	semapv:ManualMappingCuration
GO:0000298	endopolyphosphatase activity	oio:hasDbXref	EC:3.6.1.10	semapv:ManualMappingCuration
GO:0000298	endopolyphosphatase activity	oio:hasDbXref	MetaCyc:ENDOPOLYPHOSPHATASE-RXN	semapv:ManualMappingCuration
GO:0000298	endopolyphosphatase activity	oio:hasDbXref	RHEA:22452	semapv:ManualMappingCuration
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	oio:hasDbXref	EC:2.7.7.1	semapv:ManualMappingCuration
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	oio:hasDbXref	MetaCyc:2.7.7.1-RXN	semapv:ManualMappingCuration
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	oio:hasDbXref	RHEA:21360	semapv:ManualMappingCuration
GO:0000310	xanthine phosphoribosyltransferase activity	oio:hasDbXref	EC:2.4.2.22	semapv:ManualMappingCuration
GO:0000310	xanthine phosphoribosyltransferase activity	oio:hasDbXref	MetaCyc:XANPRIBOSYLTRAN-RXN	semapv:ManualMappingCuration
GO:0000310	xanthine phosphoribosyltransferase activity	oio:hasDbXref	RHEA:10800	semapv:ManualMappingCuration
GO:0000331	contractile vacuole	oio:hasDbXref	Wikipedia:Contractile_vacuole	semapv:ManualMappingCuration
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	oio:hasDbXref	EC:1.13.11.6	semapv:ManualMappingCuration
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	oio:hasDbXref	KEGG_REACTION:R02665	semapv:ManualMappingCuration
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	oio:hasDbXref	MetaCyc:1.13.11.6-RXN	semapv:ManualMappingCuration
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	oio:hasDbXref	RHEA:17953	semapv:ManualMappingCuration
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	oio:hasDbXref	UM-BBD_reactionID:r1027	semapv:ManualMappingCuration
GO:0000423	mitophagy	oio:hasDbXref	Wikipedia:Mitophagy	semapv:ManualMappingCuration
GO:0000514	3-sulfino-L-alanine: proton, glutamate antiporter activity	oio:hasDbXref	RHEA:70967	semapv:ManualMappingCuration
GO:0000515	aspartate:glutamate, proton antiporter activity	oio:hasDbXref	RHEA:70783	semapv:ManualMappingCuration
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity	oio:hasDbXref	EC:3.2.2.31	semapv:ManualMappingCuration
GO:0000721	(R,R)-butanediol dehydrogenase activity	oio:hasDbXref	EC:1.1.1.4	semapv:ManualMappingCuration
GO:0000721	(R,R)-butanediol dehydrogenase activity	oio:hasDbXref	MetaCyc:RR-BUTANEDIOL-DEHYDROGENASE-RXN	semapv:ManualMappingCuration
GO:0000721	(R,R)-butanediol dehydrogenase activity	oio:hasDbXref	RHEA:24340	semapv:ManualMappingCuration
GO:0000725	recombinational repair	oio:hasDbXref	Wikipedia:Recombinational_repair	semapv:ManualMappingCuration
GO:0000741	karyogamy	oio:hasDbXref	Wikipedia:Karyogamy	semapv:ManualMappingCuration
GO:0000746	obsolete conjugation	oio:hasDbXref	Wikipedia:Conjugation	semapv:ManualMappingCuration
GO:0000747	conjugation with cellular fusion	oio:hasDbXref	Wikipedia:Conjugation	semapv:ManualMappingCuration
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity	oio:hasDbXref	EC:2.1.1.71	semapv:ManualMappingCuration
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity	oio:hasDbXref	MetaCyc:2.1.1.71-RXN	semapv:ManualMappingCuration
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity	oio:hasDbXref	RHEA:32735	semapv:ManualMappingCuration
GO:0000775	chromosome, centromeric region	oio:hasDbXref	SO:0000577	semapv:ManualMappingCuration
GO:0000776	kinetochore	oio:hasDbXref	Wikipedia:Kinetochore	semapv:ManualMappingCuration
GO:0000781	chromosome, telomeric region	oio:hasDbXref	SO:0000624	semapv:ManualMappingCuration
GO:0000785	chromatin	oio:hasDbXref	NIF_Subcellular:sao1615953555	semapv:ManualMappingCuration
GO:0000786	nucleosome	oio:hasDbXref	Wikipedia:Nucleosome	semapv:ManualMappingCuration
GO:0000791	euchromatin	oio:hasDbXref	NIF_Subcellular:sao445485807	semapv:ManualMappingCuration
GO:0000791	euchromatin	oio:hasDbXref	Wikipedia:Euchromatin	semapv:ManualMappingCuration
GO:0000792	heterochromatin	oio:hasDbXref	NIF_Subcellular:sao581845896	semapv:ManualMappingCuration
GO:0000792	heterochromatin	oio:hasDbXref	Wikipedia:Heterochromatin	semapv:ManualMappingCuration
GO:0000795	synaptonemal complex	oio:hasDbXref	Wikipedia:Synaptonemal_complex	semapv:ManualMappingCuration
GO:0000804	W chromosome	oio:hasDbXref	Wikipedia:ZW_sex-determination_system	semapv:ManualMappingCuration
GO:0000805	X chromosome	oio:hasDbXref	Wikipedia:X_chromosome	semapv:ManualMappingCuration
GO:0000806	Y chromosome	oio:hasDbXref	Wikipedia:Y_chromosome	semapv:ManualMappingCuration
GO:0000807	Z chromosome	oio:hasDbXref	Wikipedia:ZW_sex-determination_system	semapv:ManualMappingCuration
GO:0000808	origin recognition complex	oio:hasDbXref	Wikipedia:Origin_recognition_complex	semapv:ManualMappingCuration
GO:0000810	diacylglycerol diphosphate phosphatase activity	oio:hasDbXref	EC:3.6.1.75	semapv:ManualMappingCuration
GO:0000810	diacylglycerol diphosphate phosphatase activity	oio:hasDbXref	MetaCyc:RXN-11277	semapv:ManualMappingCuration
GO:0000810	diacylglycerol diphosphate phosphatase activity	oio:hasDbXref	RHEA:27449	semapv:ManualMappingCuration
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity	oio:hasDbXref	EC:2.7.1.151	semapv:ManualMappingCuration
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity	oio:hasDbXref	KEGG_REACTION:R05800	semapv:ManualMappingCuration
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity	oio:hasDbXref	MetaCyc:2.7.1.151-RXN	semapv:ManualMappingCuration
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity	oio:hasDbXref	RHEA:32359	semapv:ManualMappingCuration
GO:0000824	inositol tetrakisphosphate 3-kinase activity	oio:hasDbXref	RHEA:11856	semapv:ManualMappingCuration
GO:0000825	inositol tetrakisphosphate 6-kinase activity	oio:hasDbXref	MetaCyc:RXN-7184	semapv:ManualMappingCuration
GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity	oio:hasDbXref	EC:2.7.4.21	semapv:ManualMappingCuration
GO:0000832	inositol hexakisphosphate 5-kinase activity	oio:hasDbXref	EC:2.7.4.21	semapv:ManualMappingCuration
GO:0000832	inositol hexakisphosphate 5-kinase activity	oio:hasDbXref	KEGG_REACTION:R09087	semapv:ManualMappingCuration
GO:0000832	inositol hexakisphosphate 5-kinase activity	oio:hasDbXref	MetaCyc:2.7.1.152-RXN	semapv:ManualMappingCuration
GO:0000832	inositol hexakisphosphate 5-kinase activity	oio:hasDbXref	RHEA:12793	semapv:ManualMappingCuration
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	oio:hasDbXref	EC:2.5.1.78	semapv:ManualMappingCuration
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	oio:hasDbXref	MetaCyc:LUMAZINESYN-RXN	semapv:ManualMappingCuration
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	oio:hasDbXref	RHEA:26152	semapv:ManualMappingCuration
GO:0000908	taurine dioxygenase activity	oio:hasDbXref	EC:1.14.11.17	semapv:ManualMappingCuration
GO:0000908	taurine dioxygenase activity	oio:hasDbXref	KEGG_REACTION:R05320	semapv:ManualMappingCuration
GO:0000908	taurine dioxygenase activity	oio:hasDbXref	MetaCyc:RXN0-299	semapv:ManualMappingCuration
GO:0000908	taurine dioxygenase activity	oio:hasDbXref	RHEA:15909	semapv:ManualMappingCuration
GO:0000910	cytokinesis	oio:hasDbXref	Wikipedia:Cytokinesis	semapv:ManualMappingCuration
GO:0000932	P-body	oio:hasDbXref	Wikipedia:P_body	semapv:ManualMappingCuration
GO:0000943	retrotransposon nucleocapsid	oio:hasDbXref	Wikipedia:Virus-like_particle	semapv:ManualMappingCuration
GO:0001171	reverse transcription	oio:hasDbXref	Wikipedia:Reverse_transcription	semapv:ManualMappingCuration
GO:0001503	ossification	oio:hasDbXref	Wikipedia:Ossification	semapv:ManualMappingCuration
GO:0001512	dihydronicotinamide riboside quinone reductase activity	oio:hasDbXref	EC:1.10.5.1	semapv:ManualMappingCuration
GO:0001512	dihydronicotinamide riboside quinone reductase activity	oio:hasDbXref	MetaCyc:1.10.99.2-RXN	semapv:ManualMappingCuration
GO:0001512	dihydronicotinamide riboside quinone reductase activity	oio:hasDbXref	RHEA:12364	semapv:ManualMappingCuration
GO:0001514	selenocysteine incorporation	oio:hasDbXref	RESID:AA0022	semapv:ManualMappingCuration
GO:0001518	voltage-gated sodium channel complex	oio:hasDbXref	NIF_Subcellular:sao785001660	semapv:ManualMappingCuration
GO:0001522	pseudouridine synthesis	oio:hasDbXref	Wikipedia:Pseudouridine	semapv:ManualMappingCuration
GO:0001522	pseudouridine synthesis	oio:hasDbXref	Wikipedia:Pseudouridylation	semapv:ManualMappingCuration
GO:0001525	angiogenesis	oio:hasDbXref	Wikipedia:Angiogenesis	semapv:ManualMappingCuration
GO:0001534	radial spoke	oio:hasDbXref	Wikipedia:Radial_spoke	semapv:ManualMappingCuration
GO:0001553	luteinization	oio:hasDbXref	Wikipedia:Luteal_phase	semapv:ManualMappingCuration
GO:0001553	luteinization	oio:hasDbXref	Wikipedia:Luteinization	semapv:ManualMappingCuration
GO:0001554	luteolysis	oio:hasDbXref	Wikipedia:Luteolysis	semapv:ManualMappingCuration
GO:0001556	oocyte maturation	oio:hasDbXref	Wikipedia:Oocyte_maturation	semapv:ManualMappingCuration
GO:0001561	fatty acid alpha-oxidation	oio:hasDbXref	MetaCyc:PWY-2501	semapv:ManualMappingCuration
GO:0001567	cholesterol 25-hydroxylase activity	oio:hasDbXref	EC:1.14.99.38	semapv:ManualMappingCuration
GO:0001567	cholesterol 25-hydroxylase activity	oio:hasDbXref	KEGG_REACTION:R07218	semapv:ManualMappingCuration
GO:0001567	cholesterol 25-hydroxylase activity	oio:hasDbXref	MetaCyc:1.14.99.38-RXN	semapv:ManualMappingCuration
GO:0001567	cholesterol 25-hydroxylase activity	oio:hasDbXref	RHEA:21104	semapv:ManualMappingCuration
GO:0001570	vasculogenesis	oio:hasDbXref	Wikipedia:Vasculogenesis	semapv:ManualMappingCuration
GO:0001635	calcitonin gene-related peptide receptor activity	oio:hasDbXref	Wikipedia:CALCRL	semapv:ManualMappingCuration
GO:0001651	dense fibrillar component	oio:hasDbXref	NIF_Subcellular:sao1841764412	semapv:ManualMappingCuration
GO:0001652	granular component	oio:hasDbXref	NIF_Subcellular:sao1217793903	semapv:ManualMappingCuration
GO:0001654	eye development	oio:hasDbXref	Wikipedia:Eye_development	semapv:ManualMappingCuration
GO:0001659	temperature homeostasis	oio:hasDbXref	Wikipedia:Thermoregulation	semapv:ManualMappingCuration
GO:0001660	fever generation	oio:hasDbXref	Wikipedia:Fever	semapv:ManualMappingCuration
GO:0001661	conditioned taste aversion	oio:hasDbXref	Wikipedia:Conditioned_taste_aversion	semapv:ManualMappingCuration
GO:0001661	conditioned taste aversion	oio:hasDbXref	Wikipedia:Taste_aversion	semapv:ManualMappingCuration
GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity	oio:hasDbXref	EC:2.4.3.3	semapv:ManualMappingCuration
GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity	oio:hasDbXref	MetaCyc:2.4.99.3-RXN	semapv:ManualMappingCuration
GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity	oio:hasDbXref	RHEA:11136	semapv:ManualMappingCuration
GO:0001669	acrosomal vesicle	oio:hasDbXref	Wikipedia:Acrosome	semapv:ManualMappingCuration
GO:0001681	sialate O-acetylesterase activity	oio:hasDbXref	EC:3.1.1.53	semapv:ManualMappingCuration
GO:0001681	sialate O-acetylesterase activity	oio:hasDbXref	MetaCyc:RXN-13181	semapv:ManualMappingCuration
GO:0001681	sialate O-acetylesterase activity	oio:hasDbXref	MetaCyc:RXN-13182	semapv:ManualMappingCuration
GO:0001709	cell fate determination	oio:hasDbXref	Wikipedia:Cell_fate_determination	semapv:ManualMappingCuration
GO:0001716	L-amino-acid oxidase activity	oio:hasDbXref	EC:1.4.3.2	semapv:ManualMappingCuration
GO:0001716	L-amino-acid oxidase activity	oio:hasDbXref	MetaCyc:L-AMINO-ACID-OXIDASE-RXN	semapv:ManualMappingCuration
GO:0001716	L-amino-acid oxidase activity	oio:hasDbXref	RHEA:13781	semapv:ManualMappingCuration
GO:0001729	ceramide kinase activity	oio:hasDbXref	EC:2.7.1.138	semapv:ManualMappingCuration
GO:0001729	ceramide kinase activity	oio:hasDbXref	MetaCyc:CERAMIDE-KINASE-RXN	semapv:ManualMappingCuration
GO:0001729	ceramide kinase activity	oio:hasDbXref	RHEA:17929	semapv:ManualMappingCuration
GO:0001730	2'-5'-oligoadenylate synthetase activity	oio:hasDbXref	EC:2.7.7.84	semapv:ManualMappingCuration
GO:0001730	2'-5'-oligoadenylate synthetase activity	oio:hasDbXref	MetaCyc:RXN-13648	semapv:ManualMappingCuration
GO:0001730	2'-5'-oligoadenylate synthetase activity	oio:hasDbXref	RHEA:34407	semapv:ManualMappingCuration
GO:0001733	galactosylceramide sulfotransferase activity	oio:hasDbXref	EC:2.8.2.11	semapv:ManualMappingCuration
GO:0001733	galactosylceramide sulfotransferase activity	oio:hasDbXref	MetaCyc:GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN	semapv:ManualMappingCuration
GO:0001733	galactosylceramide sulfotransferase activity	skos:exactMatch	RHEA:20613	semapv:ManualMappingCuration
GO:0001733	galactosylceramide sulfotransferase activity	skos:narrowMatch	RHEA:41744	semapv:ManualMappingCuration
GO:0001733	galactosylceramide sulfotransferase activity	skos:narrowMatch	RHEA:43304	semapv:ManualMappingCuration
GO:0001735	prenylcysteine oxidase activity	oio:hasDbXref	EC:1.8.3.5	semapv:ManualMappingCuration
GO:0001735	prenylcysteine oxidase activity	oio:hasDbXref	MetaCyc:RXN-18932	semapv:ManualMappingCuration
GO:0001735	prenylcysteine oxidase activity	oio:hasDbXref	RHEA:53892	semapv:ManualMappingCuration
GO:0001740	Barr body	oio:hasDbXref	NIF_Subcellular:sao1571698684	semapv:ManualMappingCuration
GO:0001740	Barr body	oio:hasDbXref	Wikipedia:Barr_body	semapv:ManualMappingCuration
GO:0001756	somitogenesis	oio:hasDbXref	Wikipedia:Somitogenesis	semapv:ManualMappingCuration
GO:0001758	retinal dehydrogenase activity	oio:hasDbXref	EC:1.2.1.36	semapv:ManualMappingCuration
GO:0001758	retinal dehydrogenase activity	oio:hasDbXref	MetaCyc:RETINAL-DEHYDROGENASE-RXN	semapv:ManualMappingCuration
GO:0001758	retinal dehydrogenase activity	oio:hasDbXref	RHEA:16177	semapv:ManualMappingCuration
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity	oio:hasDbXref	EC:4.1.1.45	semapv:ManualMappingCuration
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity	oio:hasDbXref	KEGG_REACTION:R04323	semapv:ManualMappingCuration
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity	oio:hasDbXref	MetaCyc:AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN	semapv:ManualMappingCuration
